Month,NTV,STR,BAN,RAD,AFF,CEM,SEM,Total_Social
Oct,946806.5,363350.7221,39416.56113,0,12032,1351.324,110936.43,426092.0489
Nov,41165.5,0,19200.60182,0,0,599.222,49980.39,132612.4352
Dec,0,0,11728.38572,0,0,67.4,63301.82,103799.1801
Jan,0,360526.559,39690.92264,0,12323,1276.284,47893.36,404875.6639
Feb,957168.6429,0,15770.86094,0,0,810.22,47013.99,76967.50606
Mar,885603.3571,432832.9965,42717.33942,0,9628,664.194,69509.3,467814.6124
Apr,0,0.01477,30675.6331,0,1296,816.088,52844.19,146609.7888
May,739623.5,234384.7297,42306.71704,0,11719,815.43,85675.93,454750.3767
Jun,105660.5,0,46977.48429,0,0,2453.294,142088.42,259544.0701
Jul,0,0,25201.2942,0,348,107.634,96496.87,189560.3779
Aug,0,0,15073.36264,0,1220,1744.394,78464.44,191489.9853
Sep,1486646.83,613834.0624,44146.65844,240957,22320,2117.738,133879.6,693557.3851
